StudentID,Name,GPA,Major,Year,Credits
S00004,Student_4,3.73,SE,Junior,65
S00007,Student_7,3.51,AI,Junior,131
S00008,Student_8,3.56,CS,Sophomore,132
S00016,Student_16,3.97,Data Science,Freshman,123
S00021,Student_21,3.99,IT,Sophomore,32
S00025,Student_25,3.51,CS,Senior,119
S00027,Student_27,3.7,Finance,Junior,102
S00029,Student_29,3.9,IT,Senior,74
S00031,Student_31,3.61,AI,Sophomore,120
S00033,Student_33,3.56,AI,Senior,0
S00035,Student_35,3.66,Business,Sophomore,19
S00040,Student_40,3.71,Business,Freshman,118
S00044,Student_44,3.9,IT,Junior,4
S00048,Student_48,3.72,Finance,Sophomore,47
S00053,Student_53,3.62,Finance,Sophomore,2
S00054,Student_54,3.91,IT,Junior,64
S00056,Student_56,3.87,CS,Freshman,51
S00058,Student_58,3.71,CS,Sophomore,36
S00065,Student_65,3.58,AI,Freshman,135
S00067,Student_67,3.88,Data Science,Sophomore,79
S00073,Student_73,3.84,CS,Sophomore,57
S00074,Student_74,3.67,Finance,Senior,127
S00079,Student_79,3.97,SE,Sophomore,125
S00080,Student_80,3.66,Finance,Senior,78
S00102,Student_102,3.57,Business,Freshman,91
S00106,Student_106,3.57,CS,Junior,66
S00107,Student_107,3.88,AI,Junior,65
S00115,Student_115,3.95,CS,Freshman,40
S00138,Student_138,3.71,Finance,Junior,91
S00139,Student_139,3.65,AI,Freshman,124
S00140,Student_140,3.8,Data Science,Freshman,52
S00155,Student_155,3.85,IT,Sophomore,112
S00158,Student_158,3.91,Finance,Junior,43
S00159,Student_159,3.94,AI,Junior,55
S00160,Student_160,3.86,CS,Senior,17
S00165,Student_165,3.85,CS,Junior,102
S00181,Student_181,3.54,Business,Junior,136
S00185,Student_185,3.93,Business,Junior,46
S00188,Student_188,3.93,CS,Senior,40
S00198,Student_198,3.72,Finance,Sophomore,21
S00199,Student_199,3.63,Data Science,Sophomore,6
S00201,Student_201,3.69,IT,Senior,57
S00217,Student_217,3.96,IT,Senior,11
S00234,Student_234,3.81,CS,Senior,30
S00241,Student_241,3.83,Finance,Senior,61
S00244,Student_244,3.56,Data Science,Junior,136
S00248,Student_248,3.9,SE,Freshman,82
S00253,Student_253,3.9,Business,Junior,66
S00254,Student_254,3.72,Data Science,Senior,121
S00255,Student_255,3.8,Data Science,Junior,5
S00264,Student_264,3.59,IT,Senior,3
S00265,Student_265,3.63,Business,Freshman,40
S00270,Student_270,3.67,Data Science,Senior,38
S00273,Student_273,3.9,IT,Senior,105
S00286,Student_286,3.69,IT,Junior,139
S00292,Student_292,3.79,CS,Freshman,111
S00298,Student_298,3.68,CS,Sophomore,4
S00301,Student_301,3.61,Data Science,Senior,54
S00305,Student_305,3.65,SE,Freshman,50
S00307,Student_307,3.52,Business,Freshman,119
S00312,Student_312,3.51,AI,Senior,58
S00316,Student_316,3.57,SE,Junior,60
S00319,Student_319,3.65,SE,Senior,20
S00324,Student_324,3.72,Data Science,Sophomore,23
S00326,Student_326,3.95,Finance,Junior,115
S00333,Student_333,3.52,CS,Sophomore,80
S00340,Student_340,3.59,SE,Sophomore,13
S00341,Student_341,3.92,IT,Junior,43
S00349,Student_349,3.54,Data Science,Sophomore,0
S00352,Student_352,3.67,IT,Junior,18
S00358,Student_358,3.82,Finance,Sophomore,15
S00368,Student_368,3.92,Business,Sophomore,43
S00373,Student_373,3.54,Business,Senior,101
S00390,Student_390,3.94,Business,Junior,72
S00398,Student_398,3.8,CS,Senior,4
S00399,Student_399,3.96,IT,Junior,94
S00401,Student_401,3.7,IT,Sophomore,137
S00405,Student_405,3.7,AI,Sophomore,138
S00413,Student_413,3.71,SE,Sophomore,62
S00416,Student_416,3.64,AI,Junior,12
S00419,Student_419,3.78,Business,Senior,113
S00423,Student_423,3.59,AI,Senior,113
S00425,Student_425,3.91,CS,Sophomore,131
S00426,Student_426,3.91,Data Science,Junior,135
S00428,Student_428,3.6,CS,Junior,70
S00432,Student_432,3.95,Data Science,Senior,129
S00438,Student_438,3.96,Data Science,Junior,106
S00451,Student_451,3.71,CS,Junior,26
S00453,Student_453,3.79,Data Science,Freshman,113
S00470,Student_470,3.65,Finance,Senior,15
S00477,Student_477,3.88,AI,Sophomore,100
S00478,Student_478,3.91,AI,Sophomore,63
S00480,Student_480,3.51,Data Science,Sophomore,51
S00482,Student_482,3.79,CS,Junior,3
S00486,Student_486,3.75,Finance,Junior,134
S00489,Student_489,3.51,IT,Senior,122
S00498,Student_498,3.52,CS,Freshman,130
S00505,Student_505,3.97,IT,Senior,129
S00508,Student_508,3.66,IT,Sophomore,133
S00510,Student_510,3.7,Data Science,Junior,4
S00515,Student_515,3.71,Data Science,Freshman,132
S00526,Student_526,3.9,SE,Senior,38
S00529,Student_529,3.77,IT,Freshman,72
S00539,Student_539,3.95,CS,Junior,45
S00546,Student_546,3.91,SE,Junior,127
S00559,Student_559,3.93,Finance,Freshman,21
S00562,Student_562,3.9,IT,Senior,57
S00568,Student_568,3.66,AI,Sophomore,23
S00579,Student_579,3.79,AI,Sophomore,83
S00581,Student_581,3.62,Business,Freshman,122
S00584,Student_584,3.75,SE,Freshman,17
S00597,Student_597,3.55,Finance,Junior,48
S00606,Student_606,3.74,CS,Junior,98
S00613,Student_613,3.54,Business,Junior,102
S00614,Student_614,3.71,AI,Junior,59
S00615,Student_615,3.84,Data Science,Junior,46
S00625,Student_625,3.99,Data Science,Junior,97
S00635,Student_635,3.87,SE,Junior,33
S00637,Student_637,3.83,Business,Junior,128
S00640,Student_640,3.52,AI,Sophomore,71
S00647,Student_647,3.87,Data Science,Senior,89
S00652,Student_652,3.77,Business,Junior,40
S00654,Student_654,3.74,CS,Senior,109
S00685,Student_685,3.55,Business,Senior,15
S00686,Student_686,3.66,IT,Sophomore,31
S00689,Student_689,3.77,IT,Freshman,37
S00694,Student_694,3.81,SE,Sophomore,2
S00702,Student_702,3.84,AI,Freshman,57
S00703,Student_703,3.78,IT,Freshman,126
S00707,Student_707,3.86,Data Science,Junior,102
S00713,Student_713,3.73,IT,Sophomore,24
S00716,Student_716,3.54,IT,Senior,11
S00720,Student_720,3.94,IT,Senior,119
S00725,Student_725,3.8,AI,Senior,124
S00726,Student_726,3.96,CS,Senior,119
S00733,Student_733,4.0,SE,Junior,75
S00740,Student_740,3.62,SE,Freshman,122
S00745,Student_745,3.9,Data Science,Senior,112
S00747,Student_747,3.6,Business,Sophomore,22
S00748,Student_748,3.65,Data Science,Senior,77
S00752,Student_752,3.71,AI,Junior,92
S00760,Student_760,3.88,AI,Freshman,119
S00761,Student_761,3.84,IT,Sophomore,37
S00768,Student_768,3.66,Finance,Sophomore,102
S00780,Student_780,3.78,Business,Senior,41
