StudentID,Name,GPA,Major,Year,Credits
S00001,Student_1,2.73,CS,Sophomore,137
S00019,Student_19,2.29,CS,Sophomore,98
S00022,Student_22,1.78,CS,Sophomore,42
S00028,Student_28,1.69,CS,Senior,10
S00032,Student_32,1.86,CS,Freshman,67
S00051,Student_51,1.98,CS,Junior,59
S00052,Student_52,3.41,CS,Senior,53
S00061,Student_61,3.19,CS,Freshman,62
S00068,Student_68,2.3,CS,Freshman,26
S00070,Student_70,2.73,CS,Sophomore,0
S00072,Student_72,1.92,CS,Sophomore,13
S00075,Student_75,3.06,CS,Senior,88
S00087,Student_87,2.92,CS,Senior,74
S00090,Student_90,2.78,CS,Junior,126
S00097,Student_97,1.85,CS,Freshman,0
S00101,Student_101,2.99,CS,Sophomore,71
S00118,Student_118,1.96,CS,Sophomore,13
S00120,Student_120,2.11,CS,Sophomore,10
S00125,Student_125,1.9,CS,Freshman,52
S00141,Student_141,1.61,CS,Freshman,31
S00142,Student_142,1.6,CS,Senior,130
S00147,Student_147,1.66,CS,Sophomore,35
S00148,Student_148,1.55,CS,Freshman,79
S00161,Student_161,2.64,CS,Freshman,73
S00170,Student_170,2.37,CS,Senior,88
S00178,Student_178,2.18,CS,Sophomore,33
S00179,Student_179,3.42,CS,Senior,99
S00212,Student_212,2.66,CS,Senior,13
S00215,Student_215,2.2,CS,Junior,86
S00218,Student_218,2.84,CS,Freshman,118
S00220,Student_220,3.44,CS,Senior,65
S00226,Student_226,2.59,CS,Junior,55
S00235,Student_235,2.19,CS,Freshman,140
S00236,Student_236,1.57,CS,Sophomore,5
S00249,Student_249,1.66,CS,Junior,109
S00266,Student_266,3.5,CS,Sophomore,41
S00297,Student_297,1.82,CS,Sophomore,123
S00311,Student_311,2.69,CS,Junior,65
S00314,Student_314,2.79,CS,Sophomore,93
S00318,Student_318,3.06,CS,Senior,137
S00332,Student_332,2.05,CS,Senior,77
S00335,Student_335,1.6,CS,Sophomore,5
S00337,Student_337,2.5,CS,Junior,7
S00347,Student_347,1.6,CS,Senior,135
S00354,Student_354,2.9,CS,Freshman,24
S00357,Student_357,3.18,CS,Freshman,59
S00365,Student_365,3.43,CS,Senior,1
S00370,Student_370,2.29,CS,Junior,46
S00372,Student_372,2.34,CS,Freshman,125
S00374,Student_374,2.96,CS,Senior,89
S00377,Student_377,3.15,CS,Freshman,83
S00385,Student_385,1.92,CS,Senior,130
S00387,Student_387,2.1,CS,Sophomore,14
S00393,Student_393,3.1,CS,Junior,45
S00394,Student_394,2.49,CS,Freshman,31
S00411,Student_411,3.09,CS,Freshman,140
S00412,Student_412,3.11,CS,Sophomore,128
S00417,Student_417,2.53,CS,Freshman,105
S00436,Student_436,2.23,CS,Sophomore,78
S00443,Student_443,3.08,CS,Freshman,121
S00445,Student_445,1.84,CS,Senior,99
S00454,Student_454,1.68,CS,Freshman,122
S00460,Student_460,3.17,CS,Freshman,99
S00462,Student_462,3.25,CS,Freshman,89
S00476,Student_476,2.0,CS,Senior,123
S00487,Student_487,2.84,CS,Sophomore,34
S00492,Student_492,2.91,CS,Junior,117
S00509,Student_509,3.16,CS,Sophomore,57
S00513,Student_513,2.12,CS,Senior,115
S00518,Student_518,3.1,CS,Sophomore,90
S00527,Student_527,2.27,CS,Junior,111
S00530,Student_530,2.13,CS,Junior,18
S00543,Student_543,2.37,CS,Freshman,73
S00547,Student_547,2.64,CS,Freshman,55
S00553,Student_553,2.58,CS,Sophomore,98
S00570,Student_570,2.0,CS,Junior,52
S00574,Student_574,2.88,CS,Sophomore,128
S00585,Student_585,2.36,CS,Freshman,60
S00596,Student_596,3.0,CS,Sophomore,85
S00599,Student_599,2.9,CS,Junior,89
S00603,Student_603,1.76,CS,Senior,95
S00631,Student_631,2.56,CS,Senior,45
S00649,Student_649,1.93,CS,Sophomore,92
S00657,Student_657,2.34,CS,Freshman,96
S00660,Student_660,2.12,CS,Freshman,18
S00688,Student_688,3.11,CS,Junior,40
S00692,Student_692,1.7,CS,Freshman,91
S00695,Student_695,3.28,CS,Junior,63
S00698,Student_698,1.97,CS,Sophomore,40
S00704,Student_704,2.81,CS,Junior,105
S00711,Student_711,2.83,CS,Junior,13
S00717,Student_717,2.77,CS,Freshman,102
S00718,Student_718,2.53,CS,Sophomore,117
S00719,Student_719,3.2,CS,Sophomore,42
S00737,Student_737,1.82,CS,Freshman,13
S00741,Student_741,2.23,CS,Freshman,21
S00756,Student_756,3.34,CS,Senior,84
S00771,Student_771,1.69,CS,Sophomore,8
S00774,Student_774,1.56,CS,Sophomore,63
S00776,Student_776,3.21,CS,Sophomore,65
S00777,Student_777,2.52,CS,Junior,110
S00795,Student_795,3.05,CS,Freshman,82
S00804,Student_804,2.6,CS,Sophomore,85
S00811,Student_811,3.37,CS,Sophomore,114
S00840,Student_840,2.8,CS,Freshman,118
S00865,Student_865,2.1,CS,Junior,70
S00871,Student_871,3.06,CS,Junior,69
S00874,Student_874,2.96,CS,Sophomore,0
S00876,Student_876,1.68,CS,Freshman,67
S00878,Student_878,3.24,CS,Sophomore,115
