StudentID,Name,GPA,Major,Year,Credits
S00001,Student_1,2.73,CS,Sophomore,137
S00002,Student_2,2.96,Finance,Junior,15
S00003,Student_3,3.13,Data Science,Junior,90
S00004,Student_4,3.73,SE,Junior,65
S00005,Student_5,2.75,Business,Senior,102
S00006,Student_6,3.25,AI,Freshman,78
S00007,Student_7,3.51,AI,Junior,131
S00008,Student_8,3.56,CS,Sophomore,132
S00009,Student_9,1.97,Finance,Sophomore,17
S00010,Student_10,2.53,SE,Senior,131
S00011,Student_11,1.76,Data Science,Freshman,103
S00012,Student_12,3.0,SE,Freshman,51
S00013,Student_13,3.48,SE,Freshman,107
S00014,Student_14,2.58,SE,Sophomore,61
S00015,Student_15,3.31,SE,Junior,139
S00016,Student_16,3.97,Data Science,Freshman,123
S00017,Student_17,1.65,Business,Junior,113
S00018,Student_18,3.07,AI,Freshman,102
S00019,Student_19,2.29,CS,Sophomore,98
S00020,Student_20,2.03,SE,Junior,53
S00021,Student_21,3.99,IT,Sophomore,32
S00022,Student_22,1.78,CS,Sophomore,42
S00023,Student_23,2.66,Data Science,Sophomore,60
S00024,Student_24,2.11,IT,Sophomore,107
S00025,Student_25,3.51,CS,Senior,119
S00026,Student_26,2.78,SE,Sophomore,40
S00027,Student_27,3.7,Finance,Junior,102
S00028,Student_28,1.69,CS,Senior,10
S00029,Student_29,3.9,IT,Senior,74
S00030,Student_30,2.82,Data Science,Junior,105
S00031,Student_31,3.61,AI,Sophomore,120
S00032,Student_32,1.86,CS,Freshman,67
S00033,Student_33,3.56,AI,Senior,0
S00034,Student_34,2.8,Business,Junior,85
S00035,Student_35,3.66,Business,Sophomore,19
S00036,Student_36,2.13,Finance,Junior,18
S00037,Student_37,2.06,Business,Senior,78
S00038,Student_38,2.33,Business,Senior,14
S00039,Student_39,2.05,IT,Junior,5
S00040,Student_40,3.71,Business,Freshman,118
S00041,Student_41,2.94,Finance,Freshman,27
S00042,Student_42,3.03,Business,Junior,55
S00043,Student_43,2.77,Business,Junior,35
S00044,Student_44,3.9,IT,Junior,4
S00045,Student_45,3.02,Data Science,Freshman,51
S00046,Student_46,2.88,Data Science,Junior,132
S00047,Student_47,2.99,SE,Freshman,73
S00048,Student_48,3.72,Finance,Sophomore,47
S00049,Student_49,1.99,Finance,Senior,132
S00050,Student_50,3.0,IT,Sophomore,50
S00051,Student_51,1.98,CS,Junior,59
S00052,Student_52,3.41,CS,Senior,53
S00053,Student_53,3.62,Finance,Sophomore,2
S00054,Student_54,3.91,IT,Junior,64
S00055,Student_55,2.85,SE,Senior,77
S00056,Student_56,3.87,CS,Freshman,51
S00057,Student_57,2.18,Finance,Sophomore,56
S00058,Student_58,3.71,CS,Sophomore,36
S00059,Student_59,3.39,Finance,Sophomore,1
S00060,Student_60,3.11,Data Science,Sophomore,112
S00061,Student_61,3.19,CS,Freshman,62
S00062,Student_62,3.48,AI,Sophomore,102
S00063,Student_63,1.72,Data Science,Senior,46
S00064,Student_64,2.53,Data Science,Senior,79
S00065,Student_65,3.58,AI,Freshman,135
S00066,Student_66,2.27,SE,Sophomore,47
S00067,Student_67,3.88,Data Science,Sophomore,79
S00068,Student_68,2.3,CS,Freshman,26
S00069,Student_69,2.16,Business,Freshman,83
S00070,Student_70,2.73,CS,Sophomore,0
S00071,Student_71,2.77,Finance,Senior,20
S00072,Student_72,1.92,CS,Sophomore,13
S00073,Student_73,3.84,CS,Sophomore,57
